location,population,infection_count,infected_percentage
United States,332915074,79630853,23.91926927
India,1393409033,43001477,3.086062741
Brazil,213993441,29488777,13.78022469
France,67422000,23811215,35.31668447
United Kingdom,68207114,19971022,29.27996924
Germany,83900471,18027870,21.48720953
Russia,145912022,17196841,11.78576019
Turkey,85042736,14623028,17.19491715
Italy,60367471,13563466,22.46816999
Spain,46745211,11260040,24.08811461
Argentina,45605823,8985836,19.70326465
South Korea,51305184,8250592,16.08140027
Netherlands,17173094,7420986,43.21286543
Iran,85028760,7133139,8.389089762
Vietnam,98168829,6820458,6.947681937
Colombia,51265841,6078487,11.85679759
Indonesia,276361788,5927550,2.144851516
Japan,126050796,5913591,4.691434872
Poland,37797000,5851147,15.48045348
Mexico,130262220,5613870,4.309668605
Ukraine,43466822,5040518,11.5962423
Malaysia,32776195,3900433,11.90020074
Australia,25788217,3763166,14.59257924
Israel,9291000,3737345,40.22543321
Czechia,10724553,3707588,34.57102594
South Africa,60041996,3698803,6.160359825
Belgium,11632334,3683784,31.66848545
Philippines,111046910,3672069,3.306772786
Peru,33359415,3537488,10.60416677
Portugal,10167923,3413013,33.56647174
Canada,38067913,3392164,8.910822088
Chile,19212362,3336614,17.36701609
Austria,9043072,3283855,36.31348949
Thailand,69950844,3276098,4.683428838
Switzerland,8715494,3206975,36.79625045
Denmark,5813302,2978029,51.22783919
Romania,19127772,2802848,14.65329051
Greece,10370747,2708610,26.11779074
Sweden,10160159,2472068,24.33099718
Iraq,41179351,2314575,5.620717529
Slovakia,5449270,2309029,42.37318026
Bangladesh,166303494,1950124,1.172629602
Serbia,6871547,1947591,28.34283168
Hungary,9634162,1819264,18.88346906
Jordan,10269022,1680179,16.36162626
Georgia,3979773,1638790,41.17797673
Pakistan,225199929,1520634,0.675237335
Kazakhstan,18994958,1393206,7.334609532
Norway,5465629,1368165,25.03216007
Ireland,4982904,1365467,27.40303646
Morocco,37344787,1162288,3.112316587
Bulgaria,6896655,1119474,16.23212992
Lebanon,6769151,1086382,16.04901412
Cuba,11317498,1078525,9.529712309
Croatia,4081657,1077365,26.39528505
Tunisia,11935764,1029762,8.627533185
Nepal,29674920,978085,3.295998776
Singapore,5453600,975607,17.88922913
Lithuania,2689862,968723,36.01385499
Belarus,9442867,944885,10.006336
Slovenia,2078723,925939,44.54364531
Mongolia,3329282,916126,27.51722443
Bolivia,11832936,898464,7.592908472
United Arab Emirates,9991083,886301,8.8709202
Uruguay,3485152,868952,24.93297279
Ecuador,17888474,849699,4.74998035
Costa Rica,5139053,827346,16.09919182
Guatemala,18249868,809586,4.436119757
Azerbaijan,10223344,791077,7.737947583
Finland,5548361,778617,14.03327938
Panama,4381583,760405,17.35457254
Latvia,1866934,755821,40.48461274
Saudi Arabia,35340680,749171,2.119854513
Hong Kong,7552800,662085,8.766086749
Sri Lanka,21497306,657134,3.056820236
Palestine,5222756,654068,12.52342633
Paraguay,7219641,646495,8.95466963
Kuwait,4328553,626609,14.47617714
Myanmar,54806014,607399,1.108270709
Dominican Republic,10953714,576904,5.266743316
Bahrain,1748295,541184,30.95495897
Estonia,1325188,536924,40.51681724
Venezuela,28704947,519059,1.808256256
Moldova,4024025,508917,12.64696417
Libya,6958538,500626,7.194413539
Egypt,104258327,495373,0.475139986
Ethiopia,117876226,469329,0.398154077
New Zealand,5126300,438477,8.553479117
Armenia,2968128,422155,14.22293782
Honduras,10062994,417201,4.145893359
Oman,5223376,387009,7.409173684
Bosnia and Herzegovina,3263459,373670,11.45012087
Cyprus,896005,363792,40.60155914
Qatar,2930524,359449,12.26569037
Kenya,54985702,323219,0.587823722
Zambia,18920657,315496,1.667468524
North Macedonia,2082661,302224,14.51143513
Albania,2872934,272804,9.495658445
Algeria,44616626,265496,0.595060684
Botswana,2397240,263950,11.01057883
Nigeria,211400704,255001,0.12062448
Zimbabwe,15092171,243650,1.614413195
Uzbekistan,33935765,237341,0.699383084
Montenegro,628051,231816,36.9103783
Kosovo,1782115,226968,12.73587844
Mozambique,32163045,225194,0.700163806
Kyrgyzstan,6628347,200763,3.028854705
Luxembourg,634814,196296,30.92181332
Mauritius,1273428,181362,14.24203017
Afghanistan,39835428,176743,0.443682945
Maldives,543620,174658,32.12869284
Iceland,368792,167379,45.38574589
Uganda,47123533,163609,0.34719171
Ghana,31732128,160761,0.506619033
Namibia,2587344,157471,6.086202685
El Salvador,6518500,156364,2.398772724
Laos,7379358,148257,2.009077212
Cambodia,16946446,134492,0.793629532
Trinidad and Tobago,1403374,133788,9.533310436
Rwanda,13276517,129615,0.976272617
Jamaica,2973462,128426,4.319073188
China,1444216102,123773,0.008570255
Cameroon,27224262,119414,0.438630807
Brunei,441532,118892,26.92715364
Angola,33933611,98985,0.291701935
Democratic Republic of Congo,92377986,86426,0.093556922
Senegal,17196308,85815,0.499031536
Malawi,19647681,85526,0.435298191
Cote d'Ivoire,27053629,81626,0.301719226
Suriname,591798,78860,13.32549282
Malta,516100,73424,14.22670025
French Polynesia,282534,70826,25.06813339
Eswatini,1172369,69507,5.928764749
Fiji,902899,64154,7.105335148
Madagascar,28427333,63870,0.224678129
Guyana,790329,63169,7.992747324
Sudan,44909351,61715,0.137421269
New Caledonia,288217,59752,20.73160154
Mauritania,4775110,58660,1.228453376
Barbados,287708,57348,19.93270955
Belize,404915,57113,14.1049356
Cape Verde,561901,55914,9.95086323
Syria,18275704,55460,0.303463002
Gabon,2278829,47570,2.087475629
Papua New Guinea,9119005,41533,0.455455392
Seychelles,98910,39761,40.19917096
Curacao,164796,39560,24.00543703
Andorra,77354,38794,50.15125268
Burundi,12255429,38296,0.312481921
Togo,8478242,36870,0.434877891
Guinea,13497237,36435,0.269944137
Faeroe Islands,49053,34658,70.65419037
Aruba,107195,33817,31.54718037
Tanzania,61498438,33773,0.054916842
Bahamas,396914,33206,8.36604403
Lesotho,2159067,32775,1.51801681
Haiti,11541683,30478,0.26406894
Mali,20855724,30433,0.145921571
Benin,12451031,26952,0.216464002
Somalia,16359500,26410,0.161435252
Isle of Man,85410,25542,29.90516333
Congo,5657017,24049,0.425118044
Saint Lucia,184401,22862,12.39798049
Timor,1343875,22789,1.695767836
Taiwan,23855008,21492,0.09009429
Burkina Faso,21497097,20751,0.096529313
Bhutan,779900,20116,2.579305039
Cayman Islands,66498,20073,30.18587025
Nicaragua,6702379,18290,0.272888179
Tajikistan,9749625,17786,0.182427529
South Sudan,11381377,17073,0.150008211
Gibraltar,33691,16148,47.92971417
Equatorial Guinea,1449891,15898,1.096496219
Djibouti,1002197,15572,1.553786331
San Marino,34010,14834,43.61658336
Central African Republic,4919987,14649,0.297744689
Liechtenstein,38254,14642,38.27573587
Grenada,113015,13921,12.31783392
Bermuda,62092,11989,19.30844553
Gambia,2486937,11973,0.481435597
Greenland,56868,11901,20.92741085
Yemen,30490639,11797,0.038690563
Dominica,72172,11643,16.13229507
Monaco,39520,9964,25.21255061
Eritrea,3601462,9722,0.269945928
